<Sentence id="6081">
0	((	SSF
1	avi	PRP	<fs af='axi,pn,fn,pl,3,,0,0'>
2	SrIkAkulYaM	NNP	<fs af='SrIkAkulYaM,n,any,sg,3,,0,0'>
3	jillAlo	NN	<fs af='jillA,n,any,sg,3,,lo,lo'>|<fs af='jillA,n,any,pl,3,,0,0_o'>
4	bahuxA	NNP	<fs af='bahuxA,n,any,sg,3,,0,0'>|<fs af='bahuxA,n,any,sg,3,,obl,obl'>
5	,	SYM	<fs af=',,punc,,,,,, '>
6	varahAlugadda	NNP	<fs af='varahAlugadda,n,any,sg,3,,0,0'>|<fs af='varahAlugadda,n,any,sg,3,,obl,obl'>
7	,	SYM	<fs af=',,punc,,,,,, '>
8	uwwara	NN	<fs af='uwwaraM,n,any,sg,3,,obl,obl'>
9	maheMxra	NNP	<fs af='maheMxra,n,any,sg,3,,0,0'>|<fs af='maheMxra,n,any,sg,3,,obl,obl'>
10	,	SYM	<fs af=',,punc,,,,,, '>
11	viSAKalo	NNP	<fs af='viSAKa,n,any,sg,3,,lo,lo'>|<fs af='viSAKa,n,any,pl,3,,0,0_o'>
12	caMpAvawi	NNP	<fs af='caMpAvawi,n,any,sg,3,,0,0'>|<fs af='caMpAvawi,n,any,sg,3,,obl,obl'>
13	,	SYM	<fs af=',,punc,,,,,, '>
14	goswani	NNP	<fs af='goswani,n,any,sg,3,,0,0'>|<fs af='goswani,n,any,sg,3,,obl,obl'>
15	,	SYM	<fs af=',,punc,,,,,, '>
16	SAraxa	NNP	<fs af='SAraxa,n,any,sg,3,,0,0'>|<fs af='SAraxa,n,any,sg,3,,obl,obl'>
17	,	SYM	<fs af=',,punc,,,,,, '>
18	wAMdava	NNP	<fs af='wAMdavaM,n,any,sg,3,,obl,obl'>
19	,	SYM	<fs af=',,punc,,,,,, '>
20	wUrpu	NN	<fs af='wUrpu,n,any,sg,3,,0,0'>|<fs af='wUrpu,n,any,sg,3,,obl,obl'>
21	goxAvarlalo	NNP	<fs af='goxAvari,n,any,pl,3,,wo,wo'>
22	eleru	NNP	<fs af='eleru,n,any,sg,3,,0,0'>
23	,	SYM	<fs af=',,punc,,,,,, '>
24	paScimagoxAvarilo	NNP	<fs af='paScimagoxAvari,n,any,sg,3,,lo,lo'>
25	eVrra	JJ	<fs af='eVrra,n,any,sg,3,,0,0'>|<fs af='eVrra,n,any,sg,3,,obl,obl'>
26	kAluva	NN	<fs af='kAluva,n,any,sg,3,,0,0'>|<fs af='kAluva,n,any,sg,3,,obl,obl'>
27	,	SYM	<fs af=',,punc,,,,,, '>
28	wammileru	NNP	<fs af='wammileru,n,any,sg,3,,0,0'>|<fs af='wammileru,n,any,sg,3,,obl,obl'>
