<Sentence id="7476">
0	((	SSF
1	wiyyani	JJ	<fs af='wiyyi,v,any,any,any,,ani,ani'>|<fs af='wiyya,adj,any,any,any,,ti_adj,ti_adj'>
2	PalAlu	NN	<fs af='PalaM,n,any,pl,3,,0,0'>|<fs af='PalaM,n,any,pl,3,,vu_agr,vu_agr'>
3	eVvari	WQ	<fs af='eVvari,avy,,,,,, '>|<fs af='eVvaru,pn,mf,pl,3,,obl,obl'>
4	raMgula	NN	<fs af='raMg,n,any,pl,3,,obl,obl'>|<fs af='raMgu,n,any,pl,3,,obl,obl'>|<fs af='raMgi,n,any,pl,3,,obl,obl'>
5	puvvulu	NN	<fs af='puvvu,n,any,pl,3,,0,0'>|<fs af='puvvu,n,any,pl,3,,vu_agr,vu_agr'>
6	eVvari	WQ	<fs af='eVvari,avy,,,,,, '>|<fs af='eVvaru,pn,mf,pl,3,,obl,obl'>
7	ceVttu	NN	<fs af='ceVttu,n,any,sg,3,,0,0'>|<fs af='ceVttu,n,any,sg,3,,obl,obl'>
8	wodugA	RB	<fs af='wodu,n,any,sg,3,,gA,gA'>
9	lekuMte	VM	<fs af='gala,v,any,any,any,,akapowe,akapowe'>|<fs af='lekuMdu,v,any,any,any,,we,we'>
10	moda	VM	<fs af='moxu,v,,sg,,,obl,obl'>
10	EpoxA	PRP	<fs af='avvui_po,pn,,sg,,,xi_0,xi_0_A'>
11	nI	PRP	<fs af='nIvu,pn,any,sg,2,,obl,obl'>
12	bawuku	NN	<fs af='bawuku,v,any,sg,2,,AjFArWa,AjFArWa'>|<fs af='bawuku,n,any,sg,3,,0,0'>|<fs af='bawuku,n,any,sg,3,,obl,obl'>
13	!	SYM	<fs af='!,punc,,,,,, '>
14	puttinaMxuku	VM	<fs af='puttu,v,any,any,any,,ina_aMxuku,ina_aMxuku'>
15	maniRi	NN	<fs af='maniRi,n,any,sg,3,,0,0'>|<fs af='maniRi,n,any,sg,3,,obl,obl'>
16	AnaMxaMgA	RB	<fs af='AnaMxaM,n,any,sg,3,,gA,gA'>
17	bawakAli	VM	<fs af='bawuku,v,any,any,any,,Ali,Ali'>
18	AnaMxaMgA	RB	<fs af='AnaMxaM,n,any,sg,3,,gA,gA'>
19	bawakAlaMte	VM	<fs af='bawuku,v,any,any,any,,Ali_aMte,Ali_aMte'>
20	ceVtlu	NN	<fs af='ceVttu,n,any,pl,3,,0,0'>|<fs af='ceVttu,n,any,pl,3,,vu_agr,vu_agr'>
21	nAti	VM	<fs af='nAdu,n,any,sg,3,,obl,obl'>|<fs af='nAtu,v,any,any,any,,i,i'>
22	peVMcAli	VM	<fs af='peVMcu,v,any,any,any,,Ali,Ali'>
23	aMxarU	PRP	<fs af='aMxaru,pn,mf,pl,3,,0,0_V'>
24	!	SYM	<fs af='!,punc,,,,,, '>
25	pAlumAlika	NN	<fs af='pAlumAlika,n,any,sg,3,,0,0'>|<fs af='pAlumAlika,n,any,sg,3,,obl,obl'>
26	vaxxu	NN	<fs af='vaxxu,avy,,,,,0,0_avy'>
27	!	SYM	<fs af='!,punc,,,,,, '>
28	sAtivAriki	NN	<fs af='sAti,n,,pl,,,vAru_ki,vAru_ki' deri_cat='pn'>
29	ceVppu	VM	<fs af='ceVppu,v,any,sg,2,,AjFArWa,AjFArWa'>|<fs af='ceVppu,n,any,sg,3,,0,0'>|<fs af='ceVppu,n,any,sg,3,,obl,obl'>
30	,	SYM	<fs af=',,punc,,,,,, '>
31	sAvAsakApulaku	NN	<fs af='sAvAsakApulu,n,any,sg,3,,ki,ki'>
32	sarvulaku	NN	<fs af='sarv,n,any,pl,3,,ki,ki'>
33	ceVppu	VM	<fs af='ceVppu,v,any,sg,2,,AjFArWa,AjFArWa'>|<fs af='ceVppu,n,any,sg,3,,0,0'>|<fs af='ceVppu,n,any,sg,3,,obl,obl'>
34	!	SYM	<fs af='!,punc,,,,,, '>
35	ajFAname	NN	<fs af='ajFAnaM,n,any,sg,3,,0,0_e'>
36	aMXakAramu	NN	<fs af='aMXakAraM,n,,sg,,,0,0'>
36	ani	VM	<fs af='anu,v,any,any,any,,i,i'>
37	ceVppu	VM	<fs af='ceVppu,v,any,sg,2,,AjFArWa,AjFArWa'>|<fs af='ceVppu,n,any,sg,3,,0,0'>|<fs af='ceVppu,n,any,sg,3,,obl,obl'>
38	,	SYM	<fs af=',,punc,,,,,, '>
39	akRarajFAname	NN	<fs af='akRarajFAnaM,n,any,sg,3,,0,0_e'>
40	baMXuvu	NN	<fs af='baMXuvu,n,,sg,,,0,0'>|<fs af='baMXuvu,n,,sg,,,obl,obl'>|<fs af='baMXu,n,,sg,,,vu,vu'>|<fs af='baMX,n,,sg,,,vu,vu'>
40	ani	VM	<fs af='anu,v,any,any,any,,i,i'>
41	ceVppu	VM	<fs af='ceVppu,v,any,sg,2,,AjFArWa,AjFArWa'>|<fs af='ceVppu,n,any,sg,3,,0,0'>|<fs af='ceVppu,n,any,sg,3,,obl,obl'>
42	!	SYM	<fs af='!,punc,,,,,, '>
43	kaRtAla	NN	<fs af='kaRtaM,n,any,pl,3,,obl,obl'>
44	cIkatlu	NN	<fs af='cIkati,n,any,pl,3,,0,0'>|<fs af='cIkati,n,any,pl,3,,vu_agr,vu_agr'>
45	karigipovAlaMte	VM	<fs af='karigipo,v,any,any,any,,Ali_aMte,Ali_aMte'>
46	,	SYM	<fs af=',,punc,,,,,, '>
47	karwavyamu	NN	<fs af='karwavyaM,n,any,sg,3,,0,0'>
47	emito	NN	<fs af='emito,avy,,,,,, '>
48	weVlusukovAlaMte	VM	<fs af='weVlusuko,v,any,any,any,,Ali_aMte,Ali_aMte'>
49	,	SYM	<fs af=',,punc,,,,,, '>
50	wadabAtu	NN	<fs af='wadabAtu,n,any,sg,3,,0,0'>|<fs af='wadabAtu,n,any,sg,3,,obl,obl'>
51	lekuMdA	VM	<fs af='gala,v,any,any,any,,akuMdA,akuMdA'>|<fs af='lekuMdu,v,any,any,any,,i,i_A'>
52	naducukovAlaMte	VM	<fs af='naducuko,v,any,any,any,,Ali_aMte,Ali_aMte'>
53	,	SYM	<fs af=',,punc,,,,,, '>
54	AlasiMcaka	VM	<fs af='AlasiMcu,v,any,any,any,,aka,aka'>
55	,	SYM	<fs af=',,punc,,,,,, '>
56	caxuvu	NN	<fs af='caxuvu,v,any,sg,2,,AjFArWa,AjFArWa'>|<fs af='caxuvu,n,any,sg,3,,0,0'>|<fs af='caxuvu,n,any,sg,3,,obl,obl'>
57	nerpamani	VM	<fs af='nerpu,v,any,pl,1,,a_ani,a_ani'>|<fs af='nerpamanu,v,any,any,any,,i,i'>
58	ceVppu	VM	<fs af='ceVppu,v,any,sg,2,,AjFArWa,AjFArWa'>|<fs af='ceVppu,n,any,sg,3,,0,0'>|<fs af='ceVppu,n,any,sg,3,,obl,obl'>
59	!	SYM	<fs af='!,punc,,,,,, '>
60	Alu	NN	<fs af='Alu,n,any,sg,3,,0,0'>
61	xixxutaku	VM	<fs af='xixxu,v,,sg,,,adaM_ki,adaM_ki' deri_cat='n'>
62	siggupaduta	VM	<fs af='siggupadu,v,any,any,any,,adaM,adaM'>
62	eVMxukani	VM	<fs af='eVMxukani,unk,,,,,,'>
63	valleV	NN	<fs af='valleV,avy,,,,,, '>
64	vese	VM	<fs af='veVyyi,v,any,any,any,,e,e'>|<fs af='veVyyi,v,any,any,any,,i,i_e'>
64	eMxuku	NN	<fs af='eMxuku,avy,,,,,0,0_avy'>
65	jaMku	NN	<fs af='jaM,n,any,sg,3,,ki,ki'>|<fs af='jaMk,n,any,sg,3,,0,0'>|<fs af='jaMk,n,any,sg,3,,obl,obl'>|<fs af='jaMku,v,any,sg,2,,AjFArWa,AjFArWa'>|<fs af='jaMku,n,any,sg,3,,0,0'>|<fs af='jaMku,n,any,sg,3,,obl,obl'>
66	goVMka	ECH	<fs af='goVMka,unk,,,,,,'>
66	eVMxukani	ECH	<fs af='eVMxukani,unk,,,,,,'>
67	madaka	NN	<fs af='madaka,n,any,sg,3,,0,0'>|<fs af='madaka,n,any,sg,3,,obl,obl'>
68	pattina	VM	<fs af='pattu,v,any,any,any,,ina,ina'>
69	cewa	NN	<fs af='cewa,avy,,,,,, '>
70	kalamu	NN	<fs af='kalaM,n,any,sg,3,,0,0'>
71	pattAlu	NN	<fs af='pattA,n,,pl,,,0,0'>|<fs af='pattA,n,,pl,,,vu,vu'>|<fs af='pattaM,n,,pl,,,0,0'>|<fs af='pattaM,n,,pl,,,vu,vu'>
71	anI	VM	<fs af='anu,v,any,any,any,,i_V,i_V'>
72	,	SYM	<fs af=',,punc,,,,,, '>
73	kalaMwo	NN	<fs af='kalaM,n,any,sg,3,,wo,wo'>
74	walarAwa	NN	<fs af='walarAwa,n,any,sg,3,,0,0'>|<fs af='walarAwa,n,any,sg,3,,obl,obl'>
75	mArcukovAlani	VM	<fs af='mArcu,v,any,any,any,,koVn_Ali_ani,koVn_Ali_ani'>
